Sample,contaminant,mass
DC15115,4HCCA Cluster,855.0714
DC15115,4HCCA Cluster,861.0794
DC15115,4HCCA Cluster,871.0453
DC15115,4HCCA Cluster,606.0915
DC15115,Bovine Casein a-S1,1267.7045
DC15115,Keratin,1549.6772
DC15115,Keratin (Human),1193.6161
DC15115,Keratin (Human),2286.1248
DC15003,4HCCA Cluster,855.0714
DC15003,4HCCA Cluster,861.0794
DC15003,4HCCA Cluster,871.0453
DC15003,4HCCA Cluster,606.0915
DC15003,Bovine Casein a-S1,1267.7045
DC15003,Bovine Serum Albumin (BSA),1002.583
DC15003,Keratin,2705.1611
DC15003,Keratin (Human),1475.7489
DC15003,Keratin (Human),1475.7853
DC15003,"Porcine Trypsin, Methylated",2720.3634
DC15214,4HCCA Cluster,855.0714
DC15214,4HCCA Cluster,871.0453
DC15214,Bovine Casein a-S1,1267.7045
DC15214,Bovine Serum Albumin (BSA),1491.7518
DC15214,Keratin (Human),1491.7438
DC15214,Keratin (Human),2566.2784
DC15214,"Porcine Trypsin, Methylated",2720.3634
DC15080,4HCCA Cluster,855.0714
DC15080,4HCCA Cluster,606.0915
DC15080,Keratin,1549.6772
DC15080,Keratin (Human),1193.6161
DC15080,"Porcine Trypsin, Methylated",2720.3634
DC15221,4HCCA Cluster,871.0453
DC15221,4HCCA Cluster,606.0915
DC15221,Keratin,1549.6772
DC15221,Keratin,2705.1611
DC15258,4HCCA Cluster,855.0714
DC15258,4HCCA Cluster,871.0453
DC15258,4HCCA Cluster,606.0915
DC15232,4HCCA Cluster,855.0714
DC15232,4HCCA Cluster,871.0453
DC15232,4HCCA Cluster,606.0915
DC15232,Bovine Casein a-S1,1267.7045
DC15232,Keratin,2705.1611
DC15260,4HCCA Cluster,855.0714
DC15260,4HCCA Cluster,871.0453
DC15260,4HCCA Cluster,1060.0879
DC15260,4HCCA Cluster,606.0915
DC15280,4HCCA Cluster,855.0714
DC15280,4HCCA Cluster,871.0453
DC15276,4HCCA Cluster,855.0714
DC15276,4HCCA Cluster,871.0453
DC15276,4HCCA Cluster,606.0915
DC15276,Bovine Casein a-S1,1267.7045
DC15019,4HCCA Cluster,839.0974
DC15019,4HCCA Cluster,855.0714
DC15019,4HCCA Cluster,861.0794
DC15019,4HCCA Cluster,871.0453
DC15019,4HCCA Cluster,1066.0959
DC15019,4HCCA Cluster,606.0915
DC15019,Bovine Casein a-S1,1267.7045
DC15019,Keratin,1549.6772
DC15019,Keratin,2705.1611
DC15019,"Porcine Trypsin, Methylated",2720.3634
DC15138,4HCCA Cluster,855.0714
DC15138,4HCCA Cluster,871.0453
DC15138,4HCCA Cluster,606.0915
DC15138,Bovine Casein a-S1,1267.7045
DC15138,Keratin,1549.6772
DC15138,Keratin,2581.1947
DC15138,Keratin,2705.1611
DC15138,Keratin (Human),1179.6004
DC15269,4HCCA Cluster,855.0714
DC15269,4HCCA Cluster,871.0453
DC15269,4HCCA Cluster,606.0915
DC15269,Bovine Casein a-S1,1267.7045
DC15269,Keratin,2581.1947
DC15007,4HCCA Cluster,839.0974
DC15007,4HCCA Cluster,855.0714
DC15007,4HCCA Cluster,861.0794
DC15007,4HCCA Cluster,871.0453
DC15007,4HCCA Cluster,1066.0959
DC15007,4HCCA Cluster,1060.0879
DC15007,4HCCA Cluster,606.0915
DC15007,Bovine Casein a-S1,1267.7045
DC15045,4HCCA Cluster,839.0974
DC15045,4HCCA Cluster,855.0714
DC15045,4HCCA Cluster,861.0794
DC15045,4HCCA Cluster,871.0453
DC15045,4HCCA Cluster,1044.114
DC15045,4HCCA Cluster,1066.0959
DC15045,4HCCA Cluster,1060.0879
DC15045,4HCCA Cluster,606.0915
DC15045,Keratin,2705.1611
DC15045,Keratin (Human),1201.6171
DC15045,Keratin (Human),1235.5287
DC15262,4HCCA Cluster,871.0453
DC15262,Keratin,2705.1611
DC15101,4HCCA Cluster,855.0714
DC15101,4HCCA Cluster,871.0453
DC15101,4HCCA Cluster,606.0915
DC15101,Keratin,1549.6772
DC15101,Keratin,2705.1611
DC15101,Keratin (Human),1193.6161
DC15217,4HCCA Cluster,855.0714
DC15217,4HCCA Cluster,871.0453
DC15217,4HCCA Cluster,606.0915
DC15217,Keratin,2705.1611
DC15048,4HCCA Cluster,839.0974
